year,sex,age,population
2020,Male,66,123657
2021,Male,66,126217
2022,Male,66,130174
2023,Male,66,131577
2024,Male,66,134346
2025,Male,66,137554
1971,Male,67,37817
1972,Male,67,38521
1973,Male,67,41180
1974,Male,67,41324
1975,Male,67,42654
1976,Male,67,42977
1977,Male,67,44131
1978,Male,67,46747
1979,Male,67,48090
1980,Male,67,48696
1981,Male,67,51492
1982,Male,67,51612
1983,Male,67,50831
1984,Male,67,50518
1985,Male,67,48711
1986,Male,67,48974
1987,Male,67,56075
1988,Male,67,61666
1989,Male,67,62427
1990,Male,67,61914
1991,Male,67,64647
1992,Male,67,64098
1993,Male,67,67452
1994,Male,67,66684
1995,Male,67,67098
1996,Male,67,67320
1997,Male,67,67208
1998,Male,67,68912
1999,Male,67,65737
2000,Male,67,64668
2001,Male,67,65849
2002,Male,67,66035
2003,Male,67,71067
2004,Male,67,73025
2005,Male,67,73966
2006,Male,67,76527
2007,Male,67,79472
2008,Male,67,81484
2009,Male,67,86596
2010,Male,67,87187
2011,Male,67,95977
2012,Male,67,99573
2013,Male,67,103546
2014,Male,67,121527
2015,Male,67,117013
2016,Male,67,115074
2017,Male,67,117079
2018,Male,67,118562
2019,Male,67,118929
2020,Male,67,122570
2021,Male,67,122071
2022,Male,67,124724
2023,Male,67,128777
2024,Male,67,130322
2025,Male,67,133200
1971,Male,68,35139
1972,Male,68,36405
1973,Male,68,36959
1974,Male,68,39556
1975,Male,68,39882
1976,Male,68,41389
1977,Male,68,41484
1978,Male,68,42660
1979,Male,68,45198
1980,Male,68,46547
1981,Male,68,47216
1982,Male,68,49981
1983,Male,68,50027
1984,Male,68,49456
1985,Male,68,49162
1986,Male,68,47588
1987,Male,68,47842
1988,Male,68,54888
1989,Male,68,60099
1990,Male,68,60661
1991,Male,68,60093
1992,Male,68,62944
1993,Male,68,62335
1994,Male,68,65549
1995,Male,68,65070
1996,Male,68,65509
1997,Male,68,66178
1998,Male,68,65994
1999,Male,68,67587
2000,Male,68,64584
2001,Male,68,63541
2002,Male,68,64726
2003,Male,68,65018
2004,Male,68,69660
2005,Male,68,71520
2006,Male,68,72528
2007,Male,68,75703
2008,Male,68,78603
2009,Male,68,80620
2010,Male,68,85844
2011,Male,68,86379
2012,Male,68,94608
2013,Male,68,98157
2014,Male,68,102242
2015,Male,68,120141
2016,Male,68,116015
2017,Male,68,113867
2018,Male,68,115849
2019,Male,68,117426
2020,Male,68,118853
2021,Male,68,120904
2022,Male,68,120488
2023,Male,68,123245
2024,Male,68,127398
2025,Male,68,128919
1971,Male,69,32515
1972,Male,69,33582
1973,Male,69,34878
1974,Male,69,35366
1975,Male,69,37813
1976,Male,69,38454
1977,Male,69,39483
1978,Male,69,39969
1979,Male,69,41022
1980,Male,69,43619
1981,Male,69,44931
1982,Male,69,45828
1983,Male,69,48312
1984,Male,69,48376
1985,Male,69,47958
1986,Male,69,47809
1987,Male,69,46234
1988,Male,69,46652
1989,Male,69,53625
1990,Male,69,58249
1991,Male,69,58680
1992,Male,69,58583
1993,Male,69,61083
1994,Male,69,60558
1995,Male,69,63655
1996,Male,69,63425
1997,Male,69,64214
1998,Male,69,64931
1999,Male,69,64862
2000,Male,69,66154
2001,Male,69,63428
2002,Male,69,62593
2003,Male,69,63563
2004,Male,69,63889
2005,Male,69,68182
2006,Male,69,69994
2007,Male,69,71638
2008,Male,69,74795
2009,Male,69,77754
2010,Male,69,79746
2011,Male,69,85095
2012,Male,69,84941
2013,Male,69,93187
2014,Male,69,96591
2015,Male,69,100887
2016,Male,69,118738
2017,Male,69,114598
2018,Male,69,112459
2019,Male,69,114703
2020,Male,69,117046
2021,Male,69,117109
2022,Male,69,119062
2023,Male,69,118983
2024,Male,69,121838
2025,Male,69,125939
1971,Male,70,31548
1972,Male,70,30905
1973,Male,70,32004
1974,Male,70,33373
1975,Male,70,33703
1976,Male,70,35969
1977,Male,70,36592
1978,Male,70,37611
1979,Male,70,38369
1980,Male,70,39428
1981,Male,70,42029
1982,Male,70,43204
1983,Male,70,44303
1984,Male,70,46672
1985,Male,70,46646
1986,Male,70,46389
1987,Male,70,46222
1988,Male,70,44751
1989,Male,70,45423
1990,Male,70,52177
1991,Male,70,56313
1992,Male,70,56934
1993,Male,70,57009
1994,Male,70,59168
1995,Male,70,58691
1996,Male,70,61712
1997,Male,70,61927
1998,Male,70,62923
1999,Male,70,63584
2000,Male,70,63504
2001,Male,70,64790
2002,Male,70,62096
2003,Male,70,61431
2004,Male,70,62166
2005,Male,70,62759
2006,Male,70,66595
2007,Male,70,69013
2008,Male,70,70629
2009,Male,70,73751
2010,Male,70,76802
2011,Male,70,78811
2012,Male,70,83577
2013,Male,70,83527
2014,Male,70,91673
2015,Male,70,95053
2016,Male,70,99537
2017,Male,70,117178
2018,Male,70,113107
2019,Male,70,111094
2020,Male,70,114307
2021,Male,70,115169
2022,Male,70,115135
2023,Male,70,117402
2024,Male,70,117421
2025,Male,70,120303
1971,Male,71,29271
1972,Male,71,30088
1973,Male,71,29372
1974,Male,71,30478
1975,Male,71,31846
1976,Male,71,31997
1977,Male,71,34228
1978,Male,71,34746
1979,Male,71,35798
1980,Male,71,36855
1981,Male,71,37817
1982,Male,71,40469
1983,Male,71,41391
1984,Male,71,42747
1985,Male,71,44905
1986,Male,71,44908
1987,Male,71,44838
1988,Male,71,44498
1989,Male,71,43323
1990,Male,71,44030
1991,Male,71,50681
1992,Male,71,54418
1993,Male,71,55064
1994,Male,71,55337
1995,Male,71,57181
1996,Male,71,56744
1997,Male,71,60229
1998,Male,71,60336
1999,Male,71,61544
2000,Male,71,62233
2001,Male,71,62165
2002,Male,71,63177
2003,Male,71,60579
2004,Male,71,60125
2005,Male,71,60801
2006,Male,71,61503
2007,Male,71,65282
2008,Male,71,67861
2009,Male,71,69537
2010,Male,71,72695
2011,Male,71,75721
2012,Male,71,77260
2013,Male,71,82117
2014,Male,71,81948
2015,Male,71,90028
2016,Male,71,93455
2017,Male,71,97909
2018,Male,71,115412
2019,Male,71,111668
2020,Male,71,110475
2021,Male,71,112420
2022,Male,71,113252
2023,Male,71,113406
2024,Male,71,115699
2025,Male,71,115800
1971,Male,72,24229
1972,Male,72,27790
1973,Male,72,28442
1974,Male,72,27699
1975,Male,72,28779
1976,Male,72,30280
1977,Male,72,30431
1978,Male,72,32531
1979,Male,72,32885
1980,Male,72,33902
1981,Male,72,35216
1982,Male,72,36326
1983,Male,72,38694
1984,Male,72,39490
1985,Male,72,41051
1986,Male,72,43145
1987,Male,72,43226
1988,Male,72,42992
1989,Male,72,42744
1990,Male,72,41655
1991,Male,72,42612
1992,Male,72,48892
1993,Male,72,52445
1994,Male,72,53209
1995,Male,72,53590
1996,Male,72,55158
1997,Male,72,55361
1998,Male,72,58590
1999,Male,72,58641
2000,Male,72,60027
2001,Male,72,60903
2002,Male,72,60658
2003,Male,72,61351
2004,Male,72,58881
2005,Male,72,58831
2006,Male,72,59361
2007,Male,72,60296
2008,Male,72,63953
2009,Male,72,66576
2010,Male,72,68395
2011,Male,72,71654
2012,Male,72,74026
2013,Male,72,75716
2014,Male,72,80532
2015,Male,72,80260
2016,Male,72,88338
2017,Male,72,91799
2018,Male,72,96050
2019,Male,72,113644
2020,Male,72,110735
2021,Male,72,108519
2022,Male,72,110311
2023,Male,72,111368
2024,Male,72,111602
2025,Male,72,113959
1971,Male,73,21891
1972,Male,73,22605
1973,Male,73,26227
1974,Male,73,26806
1975,Male,73,25950
1976,Male,73,27111
1977,Male,73,28336
1978,Male,73,28863
1979,Male,73,30734
1980,Male,73,30992
1981,Male,73,31911
1982,Male,73,33288
1983,Male,73,34742
1984,Male,73,36889
1985,Male,73,37534
1986,Male,73,39349
1987,Male,73,41198
1988,Male,73,41337
1989,Male,73,41216
1990,Male,73,40812
1991,Male,73,39967
1992,Male,73,40671
1993,Male,73,46993
1994,Male,73,50422
1995,Male,73,51207
1996,Male,73,51820
1997,Male,73,53145
1998,Male,73,53845
1999,Male,73,56871
2000,Male,73,56875
2001,Male,73,58557
2002,Male,73,58957
2003,Male,73,59004
2004,Male,73,59372
2005,Male,73,57212
2006,Male,73,57421
2007,Male,73,57897
2008,Male,73,58861
2009,Male,73,62401
2010,Male,73,65288
2011,Male,73,67211
2012,Male,73,69763
2013,Male,73,72253
2014,Male,73,74006
2015,Male,73,78795
2016,Male,73,78540
2017,Male,73,86486
2018,Male,73,90038
2019,Male,73,94184
2020,Male,73,112335
2021,Male,73,108559
2022,Male,73,106293
2023,Male,73,108245
2024,Male,73,109420
2025,Male,73,109660
1971,Male,74,20106
1972,Male,74,20487
1973,Male,74,20927
1974,Male,74,24758
1975,Male,74,25108
1976,Male,74,24223
1977,Male,74,25242
1978,Male,74,26406
1979,Male,74,27223
1980,Male,74,28933
1981,Male,74,29056
1982,Male,74,30239
1983,Male,74,31375
1984,Male,74,33161
1985,Male,74,35005
1986,Male,74,35553
1987,Male,74,37417
1988,Male,74,39093
1989,Male,74,39495
1990,Male,74,39214
1991,Male,74,38921
1992,Male,74,38127
1993,Male,74,38637
1994,Male,74,44954
1995,Male,74,48338
1996,Male,74,49316
1997,Male,74,49829
1998,Male,74,51017
1999,Male,74,52174
2000,Male,74,55046
2001,Male,74,55086
2002,Male,74,56534
2003,Male,74,56839
2004,Male,74,57196
2005,Male,74,57436
2006,Male,74,55463
2007,Male,74,55823
2008,Male,74,56359
2009,Male,74,57377
2010,Male,74,60850
2011,Male,74,63899
2012,Male,74,65397
2013,Male,74,67848
2014,Male,74,70375
2015,Male,74,72136
2016,Male,74,76971
2017,Male,74,76673
2018,Male,74,84460
2019,Male,74,88149
2020,Male,74,92846
2021,Male,74,110061
2022,Male,74,106181
2023,Male,74,104128
2024,Male,74,106000
2025,Male,74,107323
1971,Male,75,18434
1972,Male,75,18557
1973,Male,75,18981
1974,Male,75,19360
1975,Male,75,23213
1976,Male,75,23474
1977,Male,75,22525
1978,Male,75,23489
1979,Male,75,24430
1980,Male,75,25656
1981,Male,75,27092
1982,Male,75,27435
1983,Male,75,28367
1984,Male,75,29391
1985,Male,75,31552
1986,Male,75,33180
1987,Male,75,33589
1988,Male,75,35234
1989,Male,75,36980
1990,Male,75,37463
1991,Male,75,37348
1992,Male,75,36934
1993,Male,75,36254
1994,Male,75,36564
1995,Male,75,42938
1996,Male,75,46360
1997,Male,75,47202
1998,Male,75,47732
1999,Male,75,48824
2000,Male,75,50466
2001,Male,75,53245
2002,Male,75,52999
2003,Male,75,54416
2004,Male,75,54593
2005,Male,75,55316
2006,Male,75,55300
2007,Male,75,53748
2008,Male,75,53963
2009,Male,75,54671
2010,Male,75,55798
2011,Male,75,59213
2012,Male,75,61995
2013,Male,75,63455
2014,Male,75,65890
2015,Male,75,68351
2016,Male,75,70234
2017,Male,75,74931
2018,Male,75,74742
2019,Male,75,82472
2020,Male,75,86590
2021,Male,75,90620
2022,Male,75,107242
2023,Male,75,103638
2024,Male,75,101884
2025,Male,75,103522
1971,Male,76,17190
1972,Male,76,16884
1973,Male,76,17007
1974,Male,76,17585
1975,Male,76,17678
1976,Male,76,21724
1977,Male,76,21599
1978,Male,76,20919
1979,Male,76,21714
1980,Male,76,22550
1981,Male,76,24040
1982,Male,76,25273
1983,Male,76,25802
1984,Male,76,26675
1985,Male,76,27443
1986,Male,76,29905
1987,Male,76,31054
1988,Male,76,31450
1989,Male,76,33050
1990,Male,76,34696
1991,Male,76,35469
1992,Male,76,35167
1993,Male,76,34971
1994,Male,76,34333
1995,Male,76,34449
1996,Male,76,40921
1997,Male,76,44143
1998,Male,76,45035
1999,Male,76,45579
2000,Male,76,46504
2001,Male,76,48840
2002,Male,76,50945
2003,Male,76,50859
2004,Male,76,52140
2005,Male,76,52283
2006,Male,76,53391
2007,Male,76,53430
2008,Male,76,51848
2009,Male,76,52124
2010,Male,76,52936
2011,Male,76,54156
2012,Male,76,57402
2013,Male,76,59985
2014,Male,76,61387
2015,Male,76,63753
2016,Male,76,66271
2017,Male,76,68174
2018,Male,76,72810
2019,Male,76,72692
2020,Male,76,80711
2021,Male,76,84418
2022,Male,76,88148
2023,Male,76,104322
2024,Male,76,101183
2025,Male,76,99222
1971,Male,77,15083
1972,Male,77,15550
1973,Male,77,15465
1974,Male,77,15549
1975,Male,77,16153
1976,Male,77,16122
1977,Male,77,19806
1978,Male,77,19808
1979,Male,77,19324
1980,Male,77,19997
1981,Male,77,20691
1982,Male,77,22265
1983,Male,77,23422
1984,Male,77,24184
1985,Male,77,24933
1986,Male,77,25519
1987,Male,77,27875
1988,Male,77,28825
1989,Male,77,29402
1990,Male,77,30785
1991,Male,77,32449
1992,Male,77,33132
1993,Male,77,32967
1994,Male,77,32867
1995,Male,77,32362
1996,Male,77,32303
1997,Male,77,38649
1998,Male,77,41915
1999,Male,77,42860
2000,Male,77,43355
2001,Male,77,44271
2002,Male,77,46570
2003,Male,77,48508
2004,Male,77,48600
2005,Male,77,49892
2006,Male,77,49878
2007,Male,77,51252
2008,Male,77,51271
2009,Male,77,49870
2010,Male,77,50226
2011,Male,77,51134
2012,Male,77,52187
2013,Male,77,55497
2014,Male,77,57927
2015,Male,77,59195
2016,Male,77,61539
2017,Male,77,64218
2018,Male,77,66073
2019,Male,77,70651
2020,Male,77,70819
2021,Male,77,78269
2022,Male,77,81870
2023,Male,77,85593
2024,Male,77,101309
2025,Male,77,98567
1971,Male,78,14396
1972,Male,78,13738
1973,Male,78,13935
1974,Male,78,14032
1975,Male,78,14092
1976,Male,78,14766
1977,Male,78,14666
1978,Male,78,17965
1979,Male,78,18124
1980,Male,78,17724
1981,Male,78,18259
1982,Male,78,19125
1983,Male,78,20380
1984,Male,78,21685
1985,Male,78,22512
1986,Male,78,23252
1987,Male,78,23751
1988,Male,78,25793
1989,Male,78,26702
1990,Male,78,27207
1991,Male,78,28608
1992,Male,78,30219
1993,Male,78,30827
1994,Male,78,30668
1995,Male,78,30752
1996,Male,78,30420
1997,Male,78,30495
1998,Male,78,36327
1999,Male,78,39602
2000,Male,78,40591
2001,Male,78,41197
2002,Male,78,41985
2003,Male,78,44196
2004,Male,78,46016
2005,Male,78,46252
2006,Male,78,47535
2007,Male,78,47708
2008,Male,78,49041
2009,Male,78,49145
2010,Male,78,47819
2011,Male,78,48253
2012,Male,78,49054
2013,Male,78,50228
2014,Male,78,53365
2015,Male,78,55630
2016,Male,78,56835
2017,Male,78,59424
2018,Male,78,62065
2019,Male,78,63856
2020,Male,78,68672
2021,Male,78,68488
2022,Male,78,75507
2023,Male,78,79178
2024,Male,78,82968
2025,Male,78,98684
1971,Male,79,12722
1972,Male,79,12927
1973,Male,79,12328
1974,Male,79,12361
1975,Male,79,12624
1976,Male,79,12686
1977,Male,79,13214
1978,Male,79,13307
1979,Male,79,16143
1980,Male,79,16443
1981,Male,79,16109
1982,Male,79,16706
1983,Male,79,17484
1984,Male,79,18605
1985,Male,79,19890
1986,Male,79,20886
1987,Male,79,21401
1988,Male,79,21877
1989,Male,79,23663
1990,Male,79,24386
1991,Male,79,25119
1992,Male,79,26493
1993,Male,79,28026
1994,Male,79,28440
1995,Male,79,28391
1996,Male,79,28707
1997,Male,79,28542
1998,Male,79,28600
1999,Male,79,34065
2000,Male,79,37275
2001,Male,79,38268
2002,Male,79,38805
2003,Male,79,39617
2004,Male,79,41668
2005,Male,79,43469
2006,Male,79,43891
2007,Male,79,45201
2008,Male,79,45416
2009,Male,79,46729
2010,Male,79,46984
2011,Male,79,45655
2012,Male,79,46092
2013,Male,79,47004
2014,Male,79,48131
2015,Male,79,51157
2016,Male,79,53276
2017,Male,79,54706
2018,Male,79,57219
2019,Male,79,59748
2020,Male,79,61705
2021,Male,79,66092
2022,Male,79,65909
2023,Male,79,72650
2024,Male,79,76407
2025,Male,79,80286
1971,Male,80,11529
1972,Male,80,11448
1973,Male,80,11493
1974,Male,80,10994
1975,Male,80,10859
1976,Male,80,11341
1977,Male,80,11346
1978,Male,80,11815
1979,Male,80,11965
1980,Male,80,14486
1981,Male,80,14802
1982,Male,80,14599
1983,Male,80,15205
1984,Male,80,16002
1985,Male,80,16812
1986,Male,80,18136
1987,Male,80,19058
1988,Male,80,19457
1989,Male,80,20103
1990,Male,80,21499
1991,Male,80,22228
1992,Male,80,23114
1993,Male,80,24460
1994,Male,80,25808
1995,Male,80,26040
1996,Male,80,26054
1997,Male,80,26680
1998,Male,80,26612
1999,Male,80,26803
2000,Male,80,31756
2001,Male,80,35011
2002,Male,80,35837
2003,Male,80,36345
2004,Male,80,37268
2005,Male,80,39152
2006,Male,80,40820
2007,Male,80,41546
2008,Male,80,42589
2009,Male,80,43031
2010,Male,80,44405
2011,Male,80,44694
2012,Male,80,43406
2013,Male,80,43858
2014,Male,80,44905
2015,Male,80,45866
2016,Male,80,48897
2017,Male,80,50934
2018,Male,80,52510
2019,Male,80,54810
2020,Male,80,57581
2021,Male,80,59106
2022,Male,80,63219
2023,Male,80,63069
2024,Male,80,69758
2025,Male,80,73591
1971,Male,81,10064
1972,Male,81,10273
1973,Male,81,10158
1974,Male,81,10180
1975,Male,81,9783
1976,Male,81,9545
1977,Male,81,10083
1978,Male,81,10147
1979,Male,81,10494
1980,Male,81,10779
1981,Male,81,12752
1982,Male,81,13351
1983,Male,81,13114
1984,Male,81,13821
1985,Male,81,14494
1986,Male,81,15100
1987,Male,81,16459
1988,Male,81,17306
1989,Male,81,17625
1990,Male,81,18273
1991,Male,81,19484
1992,Male,81,20306
1993,Male,81,21218
1994,Male,81,22445
1995,Male,81,23637
1996,Male,81,23710
1997,Male,81,23972
1998,Male,81,24611
1999,Male,81,24700
2000,Male,81,24965
2001,Male,81,29481
2002,Male,81,32451
2003,Male,81,33335
2004,Male,81,33881
2005,Male,81,34905
2006,Male,81,36510
2007,Male,81,38331
2008,Male,81,38970
2009,Male,81,39999
2010,Male,81,40631
2011,Male,81,41975
2012,Male,81,42210
2013,Male,81,41070
2014,Male,81,41588
2015,Male,81,42537
2016,Male,81,43463
2017,Male,81,46397
2018,Male,81,48617
2019,Male,81,50129
2020,Male,81,52520
2021,Male,81,55042
2022,Male,81,56175
2023,Male,81,60126
2024,Male,81,60272
2025,Male,81,66849
1971,Male,82,8660
1972,Male,82,8880
1973,Male,82,9038
1974,Male,82,8958
1975,Male,82,8872
1976,Male,82,8706
1977,Male,82,8468
1978,Male,82,8916
1979,Male,82,8999
1980,Male,82,9237
1981,Male,82,9607
1982,Male,82,11497
1983,Male,82,11933
1984,Male,82,11772
1985,Male,82,12401
1986,Male,82,13055
1987,Male,82,13624
1988,Male,82,14742
1989,Male,82,15532
1990,Male,82,15775
1991,Male,82,16604
1992,Male,82,17643
1993,Male,82,18396
1994,Male,82,19275
1995,Male,82,20455
1996,Male,82,21515
1997,Male,82,21658
1998,Male,82,21902
1999,Male,82,22655
2000,Male,82,22789
2001,Male,82,23171
2002,Male,82,27378
2003,Male,82,29827
2004,Male,82,30799
2005,Male,82,31418
2006,Male,82,32459
2007,Male,82,34015
2008,Male,82,35664
2009,Male,82,36302
2010,Male,82,37488
2011,Male,82,38139
2012,Male,82,39377
2013,Male,82,39614
2014,Male,82,38710
2015,Male,82,39000
2016,Male,82,40058
2017,Male,82,41043
2018,Male,82,43765
2019,Male,82,46081
2020,Male,82,47749
2021,Male,82,49923
2022,Male,82,52053
2023,Male,82,53207
2024,Male,82,57186
2025,Male,82,57329
1971,Male,83,7398
1972,Male,83,7470
1973,Male,83,7674
1974,Male,83,7869
1975,Male,83,7783
1976,Male,83,7682
1977,Male,83,7519
1978,Male,83,7446
1979,Male,83,7794
1980,Male,83,7930
1981,Male,83,7999
1982,Male,83,8460
1983,Male,83,10174
1984,Male,83,10568
1985,Male,83,10388
1986,Male,83,11018
1987,Male,83,11619
1988,Male,83,12108
1989,Male,83,13116
1990,Male,83,13730
1991,Male,83,14052
1992,Male,83,14804
1993,Male,83,15891
1994,Male,83,16562
1995,Male,83,17375
1996,Male,83,18498
1997,Male,83,19366
1998,Male,83,19681
1999,Male,83,19954
2000,Male,83,20690
2001,Male,83,20938
2002,Male,83,21208
2003,Male,83,25260
2004,Male,83,27146
2005,Male,83,28286
2006,Male,83,28851
2007,Male,83,29998
2008,Male,83,31410
2009,Male,83,32918
2010,Male,83,33628
2011,Male,83,34802
2012,Male,83,35515
2013,Male,83,36761
2014,Male,83,36980
2015,Male,83,36219
2016,Male,83,36419
2017,Male,83,37480
2018,Male,83,38408
2019,Male,83,41056
2020,Male,83,43617
2021,Male,83,45137
2022,Male,83,46802
2023,Male,83,48869
2024,Male,83,50128
2025,Male,83,54074
1971,Male,84,6168
1972,Male,84,6334
1973,Male,84,6342
1974,Male,84,6676
1975,Male,84,6756
1976,Male,84,6711
1977,Male,84,6528
1978,Male,84,6470
1979,Male,84,6514
1980,Male,84,6773
1981,Male,84,6896
1982,Male,84,6970
1983,Male,84,7343
1984,Male,84,8952
1985,Male,84,9320
1986,Male,84,9032
1987,Male,84,9607
1988,Male,84,10173
1989,Male,84,10690
1990,Male,84,11499
1991,Male,84,12045
1992,Male,84,12443
1993,Male,84,13099
1994,Male,84,14205
1995,Male,84,14726
1996,Male,84,15559
1997,Male,84,16489
1998,Male,84,17355
1999,Male,84,17834
2000,Male,84,18011
2001,Male,84,18782
2002,Male,84,18858
2003,Male,84,19191
2004,Male,84,23072
2005,Male,84,24541
2006,Male,84,25768
2007,Male,84,26323
2008,Male,84,27422
2009,Male,84,28716
2010,Male,84,30179
2011,Male,84,30962
2012,Male,84,32074
2013,Male,84,32764
2014,Male,84,34050
2015,Male,84,34194
2016,Male,84,33665
2017,Male,84,33868
2018,Male,84,34903
2019,Male,84,35885
2020,Male,84,38471
2021,Male,84,40755
2022,Male,84,42037
2023,Male,84,43656
2024,Male,84,45742
2025,Male,84,47027
1971,Male,85,4949
1972,Male,85,5157
1973,Male,85,5339
1974,Male,85,5407
1975,Male,85,5676
1976,Male,85,5719
1977,Male,85,5682
1978,Male,85,5540
1979,Male,85,5523
1980,Male,85,5670
1981,Male,85,5730
1982,Male,85,5936
1983,Male,85,5986
1984,Male,85,6355
1985,Male,85,7803
1986,Male,85,8126
1987,Male,85,7848
1988,Male,85,8309
1989,Male,85,8851
1990,Male,85,9328
1991,Male,85,10031
1992,Male,85,10547
1993,Male,85,10925
1994,Male,85,11503
1995,Male,85,12478
1996,Male,85,12981
1997,Male,85,13708
1998,Male,85,14541
1999,Male,85,15433
2000,Male,85,16045
2001,Male,85,16141
2002,Male,85,16725
2003,Male,85,16718
2004,Male,85,17237
2005,Male,85,20956
2006,Male,85,21943
2007,Male,85,23350
2008,Male,85,23715
2009,Male,85,24811
2010,Male,85,26167
2011,Male,85,27482
2012,Male,85,28246
2013,Male,85,29349
2014,Male,85,30010
2015,Male,85,31221
2016,Male,85,31394
2017,Male,85,30979
2018,Male,85,31180
2019,Male,85,32161
2020,Male,85,33254
2021,Male,85,35693
2022,Male,85,37649
2023,Male,85,38763
2024,Male,85,40469
2025,Male,85,42536
1971,Male,86,4155
1972,Male,86,4116
1973,Male,86,4261
1974,Male,86,4483
1975,Male,86,4442
1976,Male,86,4847
1977,Male,86,4743
1978,Male,86,4811
1979,Male,86,4640
1980,Male,86,4727
1981,Male,86,4897
1982,Male,86,4864
1983,Male,86,5061
1984,Male,86,5151
1985,Male,86,5401
1986,Male,86,6791
1987,Male,86,6967
1988,Male,86,6832
1989,Male,86,7151
1990,Male,86,7573
1991,Male,86,8097
1992,Male,86,8692
1993,Male,86,9081
1994,Male,86,9478
1995,Male,86,9913
1996,Male,86,10929
1997,Male,86,11308
1998,Male,86,11976
1999,Male,86,12738
2000,Male,86,13542
2001,Male,86,14271
2002,Male,86,14243
2003,Male,86,14682
2004,Male,86,14666
2005,Male,86,15396
2006,Male,86,18819
2007,Male,86,19702
2008,Male,86,20766
2009,Male,86,21209
2010,Male,86,22243
2011,Male,86,23461
2012,Male,86,24809
2013,Male,86,25486
2014,Male,86,26661
2015,Male,86,27085
2016,Male,86,28344
2017,Male,86,28486
2018,Male,86,28119
2019,Male,86,28369
2020,Male,86,29406
2021,Male,86,30567
2022,Male,86,32496
2023,Male,86,34320
2024,Male,86,35441
2025,Male,86,37215
1971,Male,87,3180
1972,Male,87,3343
1973,Male,87,3385
1974,Male,87,3445
1975,Male,87,3628
1976,Male,87,3665
1977,Male,87,3946
1978,Male,87,3935
1979,Male,87,3987
1980,Male,87,3922
1981,Male,87,3934
1982,Male,87,4110
1983,Male,87,4061
1984,Male,87,4251
1985,Male,87,4332
1986,Male,87,4550
1987,Male,87,5705
1988,Male,87,5801
1989,Male,87,5891
1990,Male,87,5930
1991,Male,87,6498
1992,Male,87,6904
1993,Male,87,7447
1994,Male,87,7706
1995,Male,87,8116
1996,Male,87,8443
1997,Male,87,9341
1998,Male,87,9731
1999,Male,87,10322
2000,Male,87,11072
2001,Male,87,11717
2002,Male,87,12379
2003,Male,87,12381
2004,Male,87,12752
2005,Male,87,12816
2006,Male,87,13554
2007,Male,87,16540
2008,Male,87,17272
2009,Male,87,18339
2010,Male,87,18802
2011,Male,87,19744
2012,Male,87,20827
2013,Male,87,22243
2014,Male,87,22767
2015,Male,87,23838
2016,Male,87,24168
2017,Male,87,25463
2018,Male,87,25562
2019,Male,87,25244
2020,Male,87,25720
2021,Male,87,26512
2022,Male,87,27432
2023,Male,87,29298
2024,Male,87,31089
2025,Male,87,32268
1971,Male,88,2338
1972,Male,88,2505
1973,Male,88,2687
1974,Male,88,2711
1975,Male,88,2708
1976,Male,88,2966
1977,Male,88,2989
1978,Male,88,3222
1979,Male,88,3202
1980,Male,88,3331
1981,Male,88,3230
1982,Male,88,3247
1983,Male,88,3401
1984,Male,88,3391
1985,Male,88,3528
1986,Male,88,3589
1987,Male,88,3755
1988,Male,88,4694
1989,Male,88,4760
1990,Male,88,4948
1991,Male,88,4979
1992,Male,88,5481
1993,Male,88,5816
1994,Male,88,6262
1995,Male,88,6459
1996,Male,88,6828
1997,Male,88,7159
1998,Male,88,7956
1999,Male,88,8269
2000,Male,88,8831
2001,Male,88,9505
2002,Male,88,10032
2003,Male,88,10547
2004,Male,88,10599
2005,Male,88,11046
2006,Male,88,10964
2007,Male,88,11722
2008,Male,88,14307
2009,Male,88,14988
2010,Male,88,16090
2011,Male,88,16374
2012,Male,88,17405
2013,Male,88,18374
2014,Male,88,19594
2015,Male,88,20083
2016,Male,88,21115
2017,Male,88,21345
2018,Male,88,22677
2019,Male,88,22743
2020,Male,88,22582
2021,Male,88,23098
2022,Male,88,23509
2023,Male,88,24401
2024,Male,88,26169
2025,Male,88,28044
1971,Male,89,1855
1972,Male,89,1792
1973,Male,89,1997
1974,Male,89,2096
1975,Male,89,2142
1976,Male,89,2116
1977,Male,89,2344
1978,Male,89,2424
1979,Male,89,2552
1980,Male,89,2607
1981,Male,89,2690
1982,Male,89,2646
1983,Male,89,2647
1984,Male,89,2769
1985,Male,89,2774
1986,Male,89,2893
1987,Male,89,2953
1988,Male,89,3072
1989,Male,89,3839
1990,Male,89,3761
1991,Male,89,4223
1992,Male,89,4210
1993,Male,89,4569
1994,Male,89,4756
1995,Male,89,5147
1996,Male,89,5329
1997,Male,89,5663
1998,Male,89,6077
1999,Male,89,6641
2000,Male,89,6947
2001,Male,89,7412
2002,Male,89,8003
2003,Male,89,8500
2004,Male,89,8869
2005,Male,89,9017
2006,Male,89,9356
2007,Male,89,9367
2008,Male,89,9966
2009,Male,89,12136
2010,Male,89,12896
2011,Male,89,13877
2012,Male,89,14095
2013,Male,89,15049
2014,Male,89,15938
2015,Male,89,17086
2016,Male,89,17423
2017,Male,89,18349
2018,Male,89,18624
2019,Male,89,19884
2020,Male,89,20034
2021,Male,89,19887
2022,Male,89,20168
2023,Male,89,20493
2024,Male,89,21365
2025,Male,89,23185
